address,authority,latitude,longitude
3028 ST MARYS ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99518079,31.02942997
3002 ST MARYS ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99566338,31.02888967
3014 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99533447,31.02801355
3033 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99514305,31.02902817
9520 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99654506,31.02857863
3005 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99568445,31.02862488
3017 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99529503,31.02839786
3018 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99527976,31.02848083
3012 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99575307,31.02804367
9522 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.9965045,31.02875716
2982,CHITUNGWIZA MUNICIPALITY,-17.9958767,31.0280917
2972 ST MARYS ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99621155,31.02846245
3021 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99530429,31.02877212
2974 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99623404,31.02827393
3010 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99572803,31.02823113
2973 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99616646,31.02837094
10011,CHITUNGWIZA MUNICIPALITY,-17.995385,31.028065
2980 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99582258,31.02805023
3045 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99474233,31.02934552
2690 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99449101,31.03143401
3043 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99475706,31.02914562
2732 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99510494,31.03006905
2698 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99449163,31.03092498
2782 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99551344,31.03059663
2861 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99633875,31.03070874
6829 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99412265,31.03013092
3032 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99507597,31.02911991
6826 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.9940896,31.03041665
2720 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99469858,31.02968022
9521 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99653351,31.02864702
2764 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.9948917,31.03192548
2734 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99508723,31.03019006
9517 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99657323,31.02828082
2796 ST MARYS,CHITUNGWIZA MUNICIPALITY,-17.99561996,31.02981994
